Speaker,Neighborhood,Gender,Year,YOB,Occupation,Age,SEC,Education,label,word,notes,context,pre_seg,post_seg,file,time.s.,nformants,F1.Hz.,B1.Hz.,F2.Hz.,B2.Hz.,F3.Hz.,B3.Hz.,F4.Hz.,B4.Hz.,F5.Hz.,B5.Hz.,seg_start,seg_end,select_start,select_end,nInt,AlignerCode,SegDur,Notes,var_context,code,asp_start,asp_end,asp_dur,token_id,select_dur,select_mid,sel_mid_int_45,sel_mid_int_55,post_segv,post_segp,post_segh,F1.Bark,F2.Bark,code2,Pseudonym
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,well,?,initial,sp,*e,AJ_71,101.000045,5,329.987,395.247,1579.597,102.905,2948.113,536.005,3716.938,858.182,4730.317,882.285,100.98,101.02,100.98,101.02,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_100.98,0.04,101,100.998,101.002,voiced,front_vowel,mid_vowel,3.333319517,11.43435514,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,want,?,initial,*ei,*oo,AJ_71,1002.258045,4,378.871,158.568,1141.237,553.235,2987.707,688.225,4302.078,818.348,NA,NA,1002.233,1002.283,1002.233,1002.283,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1002.233,0.05,1002.258,1002.2555,1002.2605,voiced,back_vowel,low_vowel,3.812920798,9.335922524,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,when,?,initial,sp,*e,AJ_71,1004.323045,4,314.323,54.247,1495.665,545.546,3128.966,326.947,4075.564,1065.05,NA,NA,1004.298,1004.348,1004.298,1004.348,191,w,0.041630576,NA,1,w,NA,NA,NA,AJ_71_1004.298,0.05,1004.323,1004.3205,1004.3255,voiced,front_vowel,mid_vowel,3.175278287,11.07378065,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,were,?,initial,sp,@r,AJ_71,1005.441125,4,300.832,109.107,1523.576,1070.554,2978.719,1003.485,4647.753,1518.399,NA,NA,1005.388,1005.488,1005.388,1005.488,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1005.388,0.1,1005.438,1005.433,1005.443,voiced,central_vowel,mid_vowel,3.037406123,11.19561545,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,would've,?,initial,*ei,*uu,AJ_71,1006.098045,4,297.654,108.121,1466.298,1544.389,3031.267,645.68,4095.867,891.928,NA,NA,1006.078,1006.118,1006.078,1006.118,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1006.078,0.04,1006.098,1006.096,1006.1,voiced,back_vowel,high_vowel,3.004688548,10.94344725,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,went,?,initial,r,*e,AJ_71,1007.813045,4,342.746,193.882,1356.2,554.153,3011.456,949.207,3717.707,1564.745,NA,NA,1007.788,1007.838,1007.788,1007.838,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1007.788,0.05,1007.813,1007.8105,1007.8155,voiced,front_vowel,mid_vowel,3.460461935,10.43427296,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,work,?,initial,d,*@@r,AJ_71,1009.223045,4,243.381,120.061,1064.162,786.278,2610.132,853.126,4302.502,808.197,NA,NA,1009.208,1009.238,1009.208,1009.238,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1009.208,0.03,1009.223,1009.2215,1009.2245,voiced,central_vowel,mid_vowel,2.431378268,8.904079001,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,what,?,initial,t,*oo,AJ_71,1032.976045,5,330.986,202.679,1311.638,1803.555,2564.113,458.344,3716.745,777.993,4821.491,778.115,1032.956,1032.996,1032.956,1032.996,191,w,0.04,NA,1,w,NA,NA,NA,AJ_71_1032.956,0.04,1032.976,1032.974,1032.978,voiced,back_vowel,low_vowel,3.343325572,10.21844307,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,way,?,initial,ii,*ei,AJ_71,1047.745875,5,243.119,105.618,1833.208,388.278,2684.247,693.239,3825.441,453.737,4923.175,611.984,1047.714,1047.784,1047.714,1047.784,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1047.714,0.07,1047.749,1047.7455,1047.7525,voiced,front_vowel,mid_vowel,2.428542135,12.42692366,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,whereas,?,initial,sp,#NAME?,AJ_71,1106.007992,4,399.275,112.5,2087.002,452.422,2788.171,775.439,4775.539,206.565,NA,NA,1105.965,1106.015,1105.997351,1106.018542,191,w,0.049642364,NA,1,w,NA,NA,NA,AJ_71_1105.99735097423,0.021190698,1106.007946,1106.006887,1106.009006,voiced,front_vowel,mid_vowel,4.007225525,13.29567234,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,quite,?,internal,k,*ai,AJ_71,1114.801045,5,540.262,229.184,1384.36,277.626,2831.25,948.405,3628.85,630.581,4986.782,737.533,1114.776,1114.826,1114.776,1114.826,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1114.776,0.05,1114.801,1114.7985,1114.8035,voiced,central_vowel,high_vowel,5.263162565,10.5676963,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,when,?,initial,sil,*e,AJ_71,1119.251664,5,473.483,289.716,1702.972,391.2,2996.085,559.968,3636.946,387.862,5039.607,205.619,1119.224,1119.264,1119.237741,1119.265496,191,w,0.04,NA,1,w,NA,NA,NA,AJ_71_1119.23774130929,0.027754968,1119.251619,1119.250231,1119.253007,voiced,front_vowel,mid_vowel,4.686424043,11.9343812,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,we,?,initial,ng,*ii;,AJ_71,1141.357045,5,214.784,72.414,1022.159,1001.177,2443.648,456.74,3611.177,1081.349,5000.957,950.02,1141.332,1141.382,1141.332,1141.382,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1141.332,0.05,1141.357,1141.3545,1141.3595,voiced,front_vowel,high_vowel,2.11778435,8.659343288,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,want,?,initial,*uu;,*oo,AJ_71,1156.156045,4,243.919,282.099,1696.559,1016.384,3044.557,987.743,4305.881,893.049,NA,NA,1156.136,1156.176,1156.136,1156.176,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1156.136,0.04,1156.156,1156.154,1156.158,voiced,back_vowel,low_vowel,2.43719997,11.90922135,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,what,?,initial,*ou,*oo,AJ_71,1203.833045,4,399.091,100.224,1232.398,347.659,2275.073,824.139,3878.406,501.132,NA,NA,1203.813,1203.853,1203.813,1203.853,191,w,0.04,NA,1,w,NA,NA,NA,AJ_71_1203.813,0.04,1203.833,1203.831,1203.835,voiced,back_vowel,low_vowel,4.005488334,9.81977167,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,hw,when,?,initial,sp,*e,AJ_71,1234.554066,5,404.941,242.714,1006.446,743.16,2455.534,1025.901,3775.183,350.349,4812.284,646.15,1234.514,1234.554,1234.549923,1234.558118,191,w,0.053594617,NA,1,w,NA,NA,NA,AJ_71_1234.54992328966,0.008194324,1234.55402,1234.553611,1234.55443,voiced,front_vowel,mid_vowel,4.060587338,8.56600824,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,hw,when,?,initial,spn,*e,AJ_71,1235.144841,4,463.755,105.762,1732.278,299.08,3329.158,591.423,4849.193,1290.26,NA,NA,1235.104,1235.154,1235.134916,1235.154675,191,w,0.049204197,NA,1,w,NA,NA,NA,AJ_71_1235.13491636126,0.019758894,1235.144796,1235.143808,1235.145784,voiced,front_vowel,mid_vowel,4.599755916,12.04824389,w,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,was,?,initial,t,@,AJ_71,1237.605875,4,351.617,152.098,1870.784,1228.556,3435.473,1004.665,4526.209,981.509,NA,NA,1237.554,1237.664,1237.554,1237.664,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1237.554,0.11,1237.609,1237.6035,1237.6145,voiced,central_vowel,mid_vowel,3.548033589,12.56280791,iw,Alison
AJ_71,Leith,woman,2019,1948,Cashier/Stockkeeper,71,MC,secondary,w,was,?,initial,r,@,AJ_71,1243.512045,4,324.543,237.581,1932.541,582.013,3159.824,952.586,4898.816,642.833,NA,NA,1243.497,1243.527,1243.497,1243.527,NA,NA,NA,NA,0,?,NA,NA,NA,AJ_71_1243.497,0.03,1243.512,1243.5105,1243.5135,voiced,central_vowel,mid_vowel,3.27863824,12.78043763,iw,Alison
