Speaker,Pseudonym,Year,Neighborhood,Gender,YOB,Occupation,Age,SEC,Code,Word,PreSeg,FolSeg,Register,File,Asp,MidPoint,SegStart,SegEnd,SegDur,AspEnd,AspDur,AspStartr,AspEndr,IntermediateV,AgeGroup,n,,AspProp,Chunk,ChunkStart,ChunkEnd,WordsChunk,WordsPerSecond,SyllablesChunk,SyllablesPerSecond,presegv,presegm,asp,aspProp,word_init,post_pausal,mean_aspprop,file,word,preseg,folseg,preword,aspstart,aspend,duration,intensity,cog,sdev,skew,kurt,window_size,window_number,token,mean_cog,YOB_z,SPS_z
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,where,S,EH,conversation,EDI_2-1-1,NA,121.5377191,121.523,121.553,0.0301875,NA,NA,NA,NA,NA,3,74,,NA,11,106.954,129.918,78,3.396620798,89,3.875631423,voiceless,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.818074491
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,which,R,IY,conversation,EDI_2-1-1,NA,175.5572952,175.535,175.579,0.0442004,NA,NA,NA,NA,NA,3,74,,NA,15,160.438,195.698,97,2.750992626,96,2.722631877,voiced,approximant,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,-0.177859812
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,N,EH,conversation,EDI_2-1-1,NA,179.3637583,179.336,179.391,0.054743,NA,NA,NA,NA,NA,3,74,,NA,15,160.438,195.698,97,2.750992626,96,2.722631877,voiced,nasal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,-0.177859812
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,D,EH,conversation,EDI_2-1-1,NA,192.2257847,192.207,192.245,0.0384735,NA,NA,NA,NA,NA,3,74,,NA,15,160.438,195.698,97,2.750992626,96,2.722631877,voiced,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,-0.177859812
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,S,EH,conversation,EDI_2-1-1,NA,192.6432882,192.627,192.66,0.0327476,NA,NA,NA,NA,NA,3,74,,NA,15,160.438,195.698,97,2.750992626,96,2.722631877,voiceless,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,-0.177859812
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,K,IH1,conversation,EDI_2-1-1,NA,317.23305,317.218,317.248,0.0299,NA,NA,NA,NA,NA,3,74,,NA,21,309.318,362.679,231,4.329004329,230,4.310264051,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.570458284
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,IY0,EH1,conversation,EDI_2-1-1,NA,317.88305,317.868,317.898,0.0299,NA,NA,NA,NA,NA,3,74,,NA,21,309.318,362.679,231,4.329004329,230,4.310264051,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.570458284
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,K,EH,conversation,EDI_2-1-1,NA,321.9030159,321.887,321.919,0.0321483,NA,NA,NA,NA,NA,3,74,,NA,21,309.318,362.679,231,4.329004329,230,4.310264051,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.570458284
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,UW1,AH1,conversation,EDI_2-1-1,NA,332.26405,332.234,332.294,0.0599,NA,NA,NA,NA,NA,3,74,,NA,21,309.318,362.679,231,4.329004329,230,4.310264051,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.570458284
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,Z,EH,conversation,EDI_2-1-1,NA,340.0587138,340.045,340.072,0.0272345,NA,NA,NA,NA,NA,3,74,,NA,21,309.318,362.679,231,4.329004329,230,4.310264051,voiced,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.570458284
